id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38308756,Superior-Doppelzimmer mit Dachterrasse,289339421,Centerroom München,,Milbertshofen-Am Hart,48.18155,11.56743,Hotel room,189,1,21,2022-08-07,0.57,3,345,10,
38309488,Helle 1- Zimmer Wohnung Nähe Oktoberfest,34594770,Tinaishe,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09428,11.50753,Entire home/apt,200,7,0,,,1,363,0,
38310032,Private room in the heart of Munich,20233471,Rene,,Altstadt-Lehel,48.1342,11.57546,Private room,50,7,5,2022-08-22,0.14,2,0,1,
38317131,"Well located, simple and beautiful apartment!",51209917,Alex,,Sendling,48.11847,11.54273,Entire home/apt,50,1,9,2020-10-08,0.25,1,0,0,
38323093,Apartment 500 m vom Hauptbahnhof und Oktoberfest,291518458,Klaus,,Ludwigsvorstadt-Isarvorstadt,48.13656,11.5567,Entire home/apt,279,2,17,2019-12-20,0.47,2,31,0,
38324221,Cosy private room & wc close to public transport,62505222,Christiane,,Bogenhausen,48.1526,11.61422,Private room,50,1,6,2020-04-05,0.16,1,0,0,
38324258,Appartement direkt in München,53038607,Sugar,,Schwabing-West,48.16283,11.55432,Entire home/apt,90,1,2,2019-10-06,0.05,1,0,0,
38330633,CLASSIC BAVARIAN HOME FOR YOUR OKTOBERFEST VISIT,291680177,Kenneth,,Pasing-Obermenzing,48.1647,11.47216,Entire home/apt,200,2,2,2019-09-29,0.05,1,0,0,
38334967,Flat right at the Octoberfest,92603518,Sabrina,,Schwanthalerhöhe,48.13576,11.54584,Entire home/apt,400,2,4,2022-09-19,0.11,1,4,1,
38336296,Villa with a big garden,87054715,Olga,,Feldmoching-Hasenbergl,48.21581,11.53556,Private room,200,1,0,,,1,88,0,
38338584,Gemütliches und modernes Apartment,291736230,Giovana,,Schwanthalerhöhe,48.136,11.54825,Entire home/apt,293,2,9,2020-10-27,0.24,1,2,0,
38340586,MUNICH - THE CITY OF 60 BEER GARDENS!,291238984,Markus,,Milbertshofen-Am Hart,48.18205,11.57472,Entire home/apt,96,2,7,2019-11-08,0.19,2,0,0,
38341515,Familiäres Klima:)nah am Oktoberfest;)),6797275,Paolo,,Laim,48.13208,11.50594,Private room,204,1,3,2022-09-18,0.08,4,170,1,
38345927,Private room -10 walking minutes to Octoberfest :),291802832,Baris,,Ludwigsvorstadt-Isarvorstadt,48.12538,11.56636,Private room,313,1,0,,,1,177,0,
38349360,"Schönes, helles Zimmer in der Maxvorstadt",9673959,Isabella,,Maxvorstadt,48.15104,11.56412,Private room,70,2,0,,,1,0,0,
38353158,Cozy & quiet apartment (49sqm) in central location,194100294,Marius,,Ludwigsvorstadt-Isarvorstadt,48.12265,11.55996,Entire home/apt,67,12,0,,,1,0,0,
38355356,Quality apartment close to city center,9892717,Martin,,Obergiesing,48.11751,11.59346,Entire home/apt,329,3,0,,,1,6,0,
38363919,Familiäres Klima:))nah am Oktoberfest:))),6797275,Paolo,,Laim,48.13219,11.5043,Private room,205,1,1,2022-09-20,1,4,174,1,
38365952,MODERN APARTMENT IN GREAT LOCATION,292132049,Andreas,,Neuhausen-Nymphenburg,48.14474,11.51247,Entire home/apt,84,2,3,2019-10-06,0.08,1,0,0,
38368284,Modernes Zimmer in S-Bahn Nähe / Oktoberfest,292149227,Manfred,,Allach-Untermenzing,48.18165,11.46615,Private room,84,1,18,2022-09-02,0.49,3,164,3,
38371907,Charmante 2-Zimmer Wohnung Nähe Oktoberfest,291763808,Beatrice,,Ludwigsvorstadt-Isarvorstadt,48.12992,11.5683,Entire home/apt,420,1,0,,,1,86,0,
38377408,5 min walk to Oktoberfest - flat for 4 people,64804179,Philipp,,Ludwigsvorstadt-Isarvorstadt,48.12593,11.5585,Entire home/apt,496,1,12,2022-09-19,0.33,1,0,3,
38379722,Cozy Room in the Heart of Munich,38997346,Stefan,,Schwabing-West,48.17342,11.56525,Private room,191,1,0,,,1,187,0,
38380858,Loft mit Gästezimmer in Haidhausen,21721419,Steve,,Au-Haidhausen,48.13771,11.61053,Private room,129,5,68,2022-09-11,1.87,3,82,36,
38385381,Trendy Neighbourhood,60944682,Gregor,,Schwabing-West,48.16469,11.56999,Entire home/apt,350,3,16,2022-09-17,0.47,1,43,8,
38394899,MUNICH - WHERE OCTOBER FEST HAPPENS IN SEPTEMBER!,292479447,Frederik,,Schwanthalerhöhe,48.13182,11.53683,Entire home/apt,78,2,0,,,1,0,0,
38398389,"Gemütliche, helle Wohnung an der Münchner Freiheit",221538172,Salome,,Schwabing-Freimann,48.16392,11.58819,Entire home/apt,189,5,2,2019-10-11,0.05,1,10,0,
38415091,Luxury apartment in heart of Munich city center,135448756,Ashraf,,Ludwigsvorstadt-Isarvorstadt,48.13816,11.55501,Entire home/apt,58,14,3,2020-03-15,0.09,1,0,0,
